No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"1","500325","Reliance Industries Limited","19.73T","1,457.60","-0.06%","10.25T"
"2","500180","HDFC Bank Limited","14.32T","931.15","0.56%","2.68T"
"3","532454","Bharti Airtel Limited","12.12T","2,016.00","-0.35%","1.95T"
"4","890157","Bharti Airtel Limited","12.12T","1,602.95","-0.47%","1.95T"
"5","532540","Tata Consultancy Services Limited","11.60T","3,206.70","2.28%","2.61T"
"6","532174","ICICI Bank Limited","10.09T","1,418.15","-1.28%","1.91T"
"7","500112","State Bank of India","9.62T","1,042.30","1.36%","3.57T"
"8","500209","Infosys Limited","6.84T","1,689.40","5.65%","1.78T"
"9","500696","Hindustan Unilever Limited","6.10T","2,359.65","0.26%","642.43B"
"10","500034","Bajaj Finance Limited","5.90T","950.50","0.47%","406.39B"
"11","500510","Larsen & Toubro Limited","5.30T","3,855.90","-0.25%","2.76T"
"12","543526","Life Insurance Corporation of India","5.19T","820.30","-0.75%","9.14T"
"13","532500","Maruti Suzuki India Limited","4.99T","15,856.6","-1.78%","1.61T"
"14","532281","HCL Technologies Limited","4.59T","1,698.90","2.55%","1.30T"
"15","500247","Kotak Mahindra Bank Limited","4.16T","418.25","-0.65%","727.39B"
"16","500875","ITC Limited","4.12T","329.25","-1.64%","785.52B"
"17","500520","Mahindra & Mahindra Limited","4.08T","3,658.75","0.26%","1.78T"
"18","532215","Axis Bank Limited","4.02T","1,294.55","-0.30%","757.78B"
"19","524715","Sun Pharmaceutical Industries Limited","4.00T","1,669.20","-1.84%","549.64B"
"20","500114","Titan Company Limited","3.73T","4,196.90","-0.57%","679.04B"
"21","532538","UltraTech Cement Limited","3.64T","12,372.6","0.94%","817.25B"
"22","532555","NTPC Limited","3.36T","346.25","-0.83%","1.87T"
"23","532921","Adani Ports and Special Economic Zone Limited","3.28T","1,421.50","-0.57%","347.46B"
"24","532978","Bajaj Finserv Ltd.","3.20T","2,002.40","0.05%","1.39T"
"25","500312","Oil and Natural Gas Corporation Limited","3.11T","247.15","-0.42%","6.56T"
"26","500049","Bharat Electronics Limited","3.00T","410.15","-1.86%","251.52B"
"27","541154","Hindustan Aeronautics Limited","2.96T","4,428.75","-0.82%","321.05B"
"28","500228","JSW Steel Limited","2.90T","1,187.05","0.43%","1.74T"
"29","533278","Coal India Limited","2.85T","431.00","-0.28%","1.31T"
"30","507685","Wipro Limited","2.80T","267.25","2.73%","908.92B"
"31","512599","Adani Enterprises Limited","2.79T","2,156.70","0.13%","930.24B"
