No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"1","NVD","NVIDIA Corporation","3.92T","161.78","0.48%","160.89B"
"2","NVDG","NVIDIA Corporation","3.92T","26.40","1.15%","160.89B"
"3","ABEA","Alphabet Inc.","3.46T","288.35","0.80%","328.54B"
"4","ABEC","Alphabet Inc.","3.46T","284.65","-0.94%","328.54B"
"5","APC","Apple Inc.","3.27T","221.20","-0.29%","355.90B"
"6","MSF","Microsoft Corporation","2.92T","398.70","1.28%","250.42B"
"7","AMZ","Amazon.com, Inc.","2.19T","204.65","0.47%","589.22B"
"8","1YD","Broadcom Inc.","1.40T","298.95","-0.52%","55.39B"
"9","1YD0","Broadcom Inc.","1.40T","8.00","-","55.39B"
"10","FB20","Meta Platforms, Inc.","1.35T","20.60","1.98%","161.48B"
"11","FB2A","Meta Platforms, Inc.","1.35T","539.20","1.01%","161.48B"
"12","TL0","Tesla, Inc.","1.26T","377.60","-0.12%","81.51B"
"13","TSFA","Taiwan Semiconductor Manufacturing Company Limited","1.23T","300.00","1.87%","103.31B"
"14","BRH","Berkshire Hathaway Inc.","915.34B","630,000","-","317.16B"
"15","BRYN","Berkshire Hathaway Inc.","915.34B","424.05","-0.43%","317.16B"
"16","WMT","Walmart Inc.","818.37B","102.28","-0.83%","609.55B"
"17","WMTD","Walmart Inc.","818.37B","31.20","1.30%","609.55B"
"18","LLY","Eli Lilly and Company","796.71B","881.50","0.11%","50.64B"
"19","CMC","JPMorgan Chase & Co.","718.26B","266.25","-0.50%","143.29B"
"20","NNN1","Tencent Holdings Limited","614.59B","69.00","-","87.38B"
"21","NNND","Tencent Holdings Limited","614.59B","67.86","-1.84%","87.38B"
"22","SSU","Samsung Electronics Co., Ltd.","572.43B","2,190.00","2.82%","191.45B"
"23","SSUN","Samsung Electronics Co., Ltd.","572.43B","1,630.00","5.16%","191.45B"
"24","3V64","Visa Inc.","539.87B","282.05","0.18%","34.09B"
"25","ORC","Oracle Corporation","469.86B","161.00","-1.67%","52.62B"
"26","XONA","Exxon Mobil Corporation","469.09B","111.70","-0.89%","278.06B"
"27","JNJ","Johnson & Johnson","455.69B","189.00","2.06%","78.81B"
"28","ASM0","ASML Holding N.V.","450.77B","10.80","9.64%","32.21B"
"29","ASME","ASML Holding N.V.","445.13B","1,146.60","7.16%","32.21B"
"30","ASMF","ASML Holding N.V.","445.13B","1,150.00","5.99%","32.21B"
"31","M4I","Mastercard Incorporated","419.76B","464.50","-0.55%","26.83B"
"32","CTO","Costco Wholesale Corporation","365.81B","819.30","0.39%","243.83B"
"33","PTX","Palantir Technologies Inc.","363.54B","153.46","-0.32%","3.32B"
"34","NFC","Netflix, Inc.","346.58B","77.11","1.98%","36.97B"
"35","4AB","AbbVie Inc.","329.99B","189.80","0.74%","50.83B"
"36","2RR","Alibaba Group Holding Limited","329.18B","18.21","-1.39%","121.16B"
"37","AHLA","Alibaba Group Holding Limited","329.18B","146.00","-1.08%","121.16B"
"38","NCB","Bank of America Corporation","326.73B","44.46","-5.37%","91.49B"
"39","MTE","Micron Technology, Inc.","326.37B","290.00","2.47%","36.48B"
"40","HDI","The Home Depot, Inc.","325.14B","327.30","1.25%","144.09B"
