No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"1","0700","Tencent Holdings Limited","5.56T","617.50","-0.72%","797.65B"
"2","9988","Alibaba Group Holding Limited","2.98T","166.20","0.97%","1.11T"
"3","1398","Industrial and Commercial Bank of China Limited","2.85T","6.35","0.16%","737.77B"
"4","1288","Agricultural Bank of China Limited","2.75T","5.56","-0.71%","649.55B"
"5","4333","Cisco Systems, Inc.","2.32T","580.00","45.00%","448.28B"
"6","0005","HSBC Holdings plc","2.21T","128.50","0.23%","451.09B"
"7","0939","China Construction Bank Corporation","2.09T","7.83","-0.26%","659.71B"
"8","4336","Applied Materials, Inc.","1.97T","1,620.00","170.00%","220.41B"
"9","0857","PetroChina Company Limited","1.95T","8.23","-0.84%","3.11T"
"10","4335","Intel Corporation","1.88T","300.00","-","415.73B"
"11","3988","Bank of China Limited","1.82T","4.500","-0.44%","601.64B"
"12","3750","Contemporary Amperex Technology Co., Limited","1.80T","484.60","-0.57%","421.91B"
"13","0941","China Mobile Limited","1.77T","80.10","-0.62%","1.14T"
"14","2628","China Life Insurance Company Limited","1.35T","31.94","0.57%","406.20B"
"15","2318","Ping An Insurance (Group) Company of China, Ltd.","1.30T","68.65","-1.29%","1.09T"
"16","3968","China Merchants Bank Co., Ltd.","1.11T","47.52","-1.08%","320.95B"
"17","2899","Zijin Mining Group Company Limited","1.10T","39.46","-1.35%","357.87B"
"18","0883","CNOOC Limited","1.07T","21.80","-1.80%","444.80B"
"19","1810","Xiaomi Corporation","959.77B","37.10","-2.01%","491.13B"
"20","1211","BYD Company Limited","947.18B","99.20","0.10%","919.27B"
"21","6288","Fast Retailing Co., Ltd.","945.91B","30.80","-2.22%","176.13B"
"22","1088","China Shenhua Energy Company Limited","894.54B","40.78","-1.12%","323.56B"
"23","1299","AIA Group Limited","876.29B","83.55","-1.53%","200.10B"
"24","0981","Semiconductor Manufacturing International Corporation","759.50B","79.20","2.39%","70.38B"
"25","0386","China Petroleum & Chemical Corporation","748.95B","4.790","-0.83%","3.08T"
"26","9999","NetEase, Inc.","683.01B","215.60","1.03%","122.22B"
"27","1658","Postal Savings Bank of China Co., Ltd.","680.96B","5.08","-0.39%","350.81B"
"28","0300","Midea Group Co., Ltd.","648.60B","85.90","0.76%","493.16B"
"29","3328","Bank of Communications Co., Ltd.","642.05B","6.62","-0.30%","232.28B"
"30","3690","Meituan","615.69B","100.00","-0.79%","396.04B"
"31","0728","China Telecom Corporation Limited","590.79B","5.19","-1.71%","581.12B"
"32","9633","Nongfu Spring Co., Ltd.","571.88B","50.85","-0.39%","50.78B"
"33","3993","CMOC Group Limited","562.07B","22.50","0.45%","222.69B"
