Exchange Name,Country,Code,Currency,Stocks
"US OTC","United States","OTC","USD","10,447"
"Frankfurt Stock Exchange","Germany","FRA","EUR","8,934"
"Bombay Stock Exchange","India","BOM","INR","4,667"
"Tokyo Stock Exchange","Japan","TYO","JPY","3,886"
"London Stock Exchange","United Kingdom","LON","GBP","3,384"
"Nasdaq Stock Market","United States","NASDAQ","USD","3,354"
"Shenzhen Stock Exchange","China","SHE","CNY","2,915"
"National Stock Exchange of India","India","NSE","INR","2,819"
"Hong Kong Stock Exchange","Hong Kong","HKG","HKD","2,700"
"Shanghai Stock Exchange","China","SHA","CNY","2,340"
"New York Stock Exchange","United States","NYSE","USD","1,922"
"Australian Securities Exchange","Australia","ASX","AUD","1,812"
"KOSDAQ","South Korea","KOSDAQ","KRW","1,791"
"TSX Venture Exchange","Canada","TSXV","CAD","1,509"
"Taipei Exchange","Taiwan","TPEX","TWD","1,230"
"Borsa Italiana","Italy","BIT","EUR","1,127"
"Stock Exchange of Thailand","Thailand","BKK","THB","1,094"
"Taiwan Stock Exchange","Taiwan","TPE","TWD","1,086"
"Bursa Malaysia","Malaysia","KLSE","MYR","1,053"
"Deutsche Börse Xetra","Germany","ETR","EUR","1,004"
"Brazil Stock Exchange","Brazil","BVMF","BRL","966"
"Vienna Stock Exchange","Austria","VIE","EUR","920"
"Korea Stock Exchange","South Korea","KRX","KRW","909"
"Indonesia Stock Exchange","Indonesia","IDX","IDR","905"
"Toronto Stock Exchange","Canada","TSX","CAD","797"
"Nasdaq Stockholm","Sweden","STO","SEK","756"
"Euronext Paris","France","EPA","EUR","729"
"Warsaw Stock Exchange","Poland","WSE","PLN","720"
"Mexican Stock Exchange","Mexico","BMV","MXN","710"
"Canadian Securities Exchange","Canada","CSE","CAD","667"
"London Stock Exchange AIM","United Kingdom","AIM","GBP","616"
"Istanbul Stock Exchange","Turkey","IST","TRY","593"
"Tel Aviv Stock Exchange","Israel","TLV","ILS","514"
"Pakistan Stock Exchange","Pakistan","PSX","PKR","480"
"Singapore Exchange","Singapore","SGX","SGD","405"
"Ho Chi Minh Stock Exchange","Vietnam","HOSE","VND","401"
"Saudi Stock Exchange","Saudi Arabia","TADAWUL","SAR","378"
"Dhaka Stock Exchange","Bangladesh","DSE","BDT","357"
"Colombo Stock Exchange","Sri Lanka","COSE","LKR","297"
"Oslo Børs","Norway","OSL","NOK","293"
"Hanoi Stock Exchange","Vietnam","HNX","VND","291"
"Philippine Stock Exchange","Philippines","PSE","PHP","283"
"SIX Swiss Exchange","Switzerland","SWX","CHF","267"
