No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"1","0R1I","NVIDIA Corporation","3.39T","189.03","0.07%","140.66B"
"2","0HD6","Alphabet Inc.","3.00T","329.93","-1.15%","286.77B"
"3","0RIH","Alphabet Inc.","3.00T","329.08","-1.27%","286.77B"
"4","0R2V","Apple Inc.","2.83T","258.70","0.42%","310.33B"
"5","0QYP","Microsoft Corporation","2.53T","460.95","0.81%","218.58B"
"6","0R1O","Amazon.com, Inc.","1.90T","237.63","-0.27%","514.31B"
"7","0YXG","Broadcom Inc.","1.21T","347.77","0.96%","48.64B"
"8","0QZI","Meta Platforms, Inc.","1.17T","623.94","0.37%","140.95B"
"9","0R0X","Tesla, Inc.","1.09T","439.15","-0.65%","71.15B"
"10","0LCV","Taiwan Semiconductor Manufacturing Company Limited","1.07T","328.00","-1.12%","90.13B"
"11","0HN0","Berkshire Hathaway Inc.","793.59B","745,043","6.67%","276.84B"
"12","0R37","Berkshire Hathaway Inc.","793.59B","494.85","0.57%","276.84B"
"13","0R1W","Walmart Inc.","709.51B","118.79","-0.65%","535.30B"
"14","0Q1F","JPMorgan Chase & Co.","622.72B","311.90","0.21%","125.00B"
"15","0LEA","Tencent Holdings Limited","532.84B","78.25","-2.69%","76.27B"
"16","0Z4S","Tencent Holdings Limited","532.84B","621.50","-1.66%","76.27B"
"17","BC94","Samsung Electronics Co., Ltd.","496.29B","2,534.00","2.10%","167.11B"
"18","SMSN","Samsung Electronics Co., Ltd.","496.29B","2,530.00","1.85%","167.11B"
"19","0QZ0","Visa Inc.","468.06B","328.07","0.03%","29.76B"
"20","0R1Z","Oracle Corporation","407.36B","187.46","-2.29%","46.09B"
"21","0R1M","Exxon Mobil Corporation","406.69B","129.94","-0.11%","242.71B"
"22","0R34","Johnson & Johnson","395.07B","219.55","0.20%","68.71B"
"23","0M42","ASML Holding N.V.","385.92B","1,349.36","0.62%","28.09B"
"24","0QB8","ASML Holding N.V.","385.92B","1,161.80","1.03%","28.09B"
"25","0R2Z","Mastercard Incorporated","363.92B","542.00","-0.01%","23.41B"
"26","0I47","Costco Wholesale Corporation","317.15B","952.42","-0.15%","214.23B"
"27","0A7R","Palantir Technologies Inc.","315.18B","173.35","-3.32%","2.90B"
"28","0QYI","Netflix, Inc.","300.48B","88.08","-0.68%","32.27B"
"29","0QCV","AbbVie Inc.","286.09B","215.25","-0.41%","44.37B"
"30","0HCI","Alibaba Group Holding Limited","285.39B","172.10","0.63%","105.76B"
