No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"1","601398","Industrial and Commercial Bank of China Limited","2.54T","7.61","-0.91%","675.05B"
"2","601288","Agricultural Bank of China Limited","2.45T","7.21","-1.64%","594.33B"
"3","601939","China Construction Bank Corporation","1.87T","8.95","-0.89%","603.62B"
"4","601857","PetroChina Company Limited","1.74T","9.80","-1.71%","2.85T"
"5","600519","Kweichow Moutai Co., Ltd.","1.73T","1,382.00","-0.50%","178.58B"
"6","601988","Bank of China Limited","1.62T","5.40","-0.55%","550.50B"
"7","600941","China Mobile Limited","1.57T","96.28","-0.84%","1.04T"
"8","601138","Foxconn Industrial Internet Co., Ltd.","1.25T","63.00","4.20%","776.69B"
"9","601628","China Life Insurance Company Limited","1.20T","47.52","-2.68%","371.66B"
"10","601318","Ping An Insurance (Group) Company of China, Ltd.","1.16T","66.33","-1.60%","996.47B"
"11","600036","China Merchants Bank Co., Ltd.","993.66B","38.72","-0.96%","293.67B"
"12","601899","Zijin Mining Group Company Limited","979.14B","37.47","-2.04%","327.44B"
"13","600938","CNOOC Limited","955.17B","29.33","-2.36%","406.99B"
"14","601088","China Shenhua Energy Company Limited","799.18B","41.00","-1.35%","296.05B"
"15","688981","Semiconductor Manufacturing International Corporation","678.53B","126.99","2.05%","64.40B"
"16","600028","China Petroleum & Chemical Corporation","669.09B","5.84","-1.85%","2.82T"
"17","600900","China Yangtze Power Co., Ltd.","648.90B","26.52","-1.12%","85.88B"
"18","601658","Postal Savings Bank of China Co., Ltd.","608.35B","5.17","-0.19%","320.99B"
"19","688256","Cambricon Technologies Corporation Limited","600.50B","1,424.05","0.64%","5.60B"
"20","601328","Bank of Communications Co., Ltd.","573.60B","6.87","-0.87%","212.53B"
"21","688041","Hygon Information Technology Co., Ltd.","566.88B","244.33","-2.27%","12.52B"
"22","601728","China Telecom Corporation Limited","527.80B","5.97","-2.13%","531.72B"
"23","603993","CMOC Group Limited","502.49B","24.25","0.83%","203.76B"
"24","601166","Industrial Bank Co., Ltd.","424.95B","20.08","-1.18%","153.49B"
"25","600276","Jiangsu Hengrui Pharmaceuticals Co.,Ltd","412.15B","61.94","-1.95%","30.98B"
"26","600030","CITIC Securities Company Limited","408.65B","28.08","-0.71%","74.83B"
"27","601998","China CITIC Bank Corporation Limited","404.61B","7.61","-0.26%","212.48B"
"28","601601","China Pacific Insurance (Group) Co., Ltd.","397.69B","44.19","-1.63%","335.88B"
"29","601319","The People's Insurance Company (Group) of China Limited","382.75B","9.30","-2.11%","627.93B"
"30","600000","Shanghai Pudong Development Bank Co., Ltd.","367.70B","11.04","-1.08%","173.96B"
"31","601211","Guotai Haitong Securities Co., Ltd.","335.43B","20.10","-1.33%","63.52B"
"32","603259","WuXi AppTec Co., Ltd.","311.06B","104.30","0.72%","43.88B"
"33","688795","Moore Threads Technology Co., Ltd.","304.00B","646.76","1.73%","944.83M"
"34","600150","China CSSC Holdings Limited","265.88B","35.33","-1.86%","94.94B"
"35","688235","BeOne Medicines AG","260.77B","307.10","0.03%","35.40B"
"36","600930","Huadian New Energy Group Corporation Limited","252.79B","6.06","-3.81%","38.51B"
"37","600309","Wanhua Chemical Group Co., Ltd.","246.43B","78.72","-0.93%","178.69B"
"38","601816","Beijing-Shanghai High-Speed Railway Co., Ltd.","242.67B","4.960","-1.98%","42.61B"
"39","688802","MetaX Integrated Circuits (Shanghai) Co., Ltd.","240.78B","601.80","0.75%","1.76B"
"40","688012","Advanced Micro-Fabrication Equipment Inc. China","235.35B","377.14","1.66%","11.62B"
"41","600690","Haier Smart Home Co., Ltd.","230.84B","25.70","-0.47%","307.23B"
"42","601336","New China Life Insurance Company Ltd.","228.66B","82.09","-1.51%","76.35B"
"43","601600","Aluminum Corporation of China Limited","221.31B","13.26","-3.49%","239.80B"
"44","601127","Seres Group Co.,Ltd","221.09B","120.92","-0.33%","149.08B"
"45","603288","Foshan Haitian Flavouring and Food Company Ltd.","213.80B","36.99","-1.60%","28.13B"
"46","601919","COSCO SHIPPING Holdings Co., Ltd.","213.17B","14.44","-1.23%","226.72B"
"47","601225","Shaanxi Coal Industry Company Limited","212.81B","21.95","-1.22%","166.79B"
"48","601668","China State Construction Engineering Corporation Limited","211.15B","5.11","-","2.12T"
"49","600809","Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.","210.29B","172.37","-1.10%","37.58B"
"50","600547","Shandong Gold Mining Co., Ltd.","203.60B","45.94","-3.20%","99.30B"
"51","600031","Sany Heavy Industry Co.,Ltd","202.35B","22.11","-0.63%","86.13B"
"52","600406","NARI Technology Co., Ltd.","195.47B","24.40","2.52%","63.43B"
"53","601688","Huatai Securities Co., Ltd.","195.44B","23.06","-1.28%","43.24B"
"54","603986","GigaDevice Semiconductor Inc.","194.33B","280.46","10.00%","8.54B"
"55","601818","China Everbright Bank Company Limited","192.28B","3.350","-0.89%","92.27B"
"56","600362","Jiangxi Copper Company Limited","191.53B","64.11","3.40%","524.76B"
"57","601766","CRRC Corporation Limited","187.64B","6.75","-1.89%","277.73B"
"58","600111","China Northern Rare Earth (Group) High-Tech Co.,Ltd","184.37B","51.00","1.13%","41.70B"
"59","688347","Hua Hong Semiconductor Limited","183.98B","140.00","6.87%","16.24B"
"60","601985","China National Nuclear Power Co., Ltd.","183.06B","8.90","0.34%","81.92B"
"61","601888","China Tourism Group Duty Free Corporation Limited","181.18B","88.43","-1.32%","53.32B"
"62","600919","Bank of Jiangsu Co., Ltd.","179.11B","9.76","-2.69%","63.17B"
"63","601066","CSC Financial Co., Ltd.","177.20B","25.08","-0.79%","24.94B"
"64","600104","SAIC Motor Corporation Limited","171.26B","14.99","0.81%","666.10B"
"65","600025","Huaneng Lancang River Hydropower Inc.","171.03B","9.18","0.22%","26.10B"
"66","600887","Inner Mongolia Yili Industrial Group Co., Ltd.","169.99B","26.97","-0.92%","117.30B"
"67","601698","China Satellite Communications Co., Ltd.","169.65B","40.16","2.24%","2.64B"
"68","600183","Shengyi Technology Co.,Ltd.","167.54B","68.97","0.92%","26.26B"
"69","600760","AVIC Shenyang Aircraft Company Limited","167.07B","58.93","-3.68%","38.15B"
"70","600346","Hengli Petrochemical Co.,Ltd.","165.14B","23.46","-1.22%","215.99B"
"71","601633","Great Wall Motor Company Limited","164.88B","21.76","0.28%","213.53B"
"72","688111","Beijing Kingsoft Office Software, Inc.","163.64B","353.29","-1.95%","5.67B"
"73","603501","OmniVision Integrated Circuits Group, Inc.","162.41B","130.83","1.84%","28.60B"
"74","688008","Montage Technology Co., Ltd.","161.98B","142.59","5.47%","5.13B"
"75","600016","China Minsheng Banking Corp., Ltd.","161.29B","3.760","-0.79%","88.39B"
"76","600050","China United Network Communications Limited","161.01B","5.15","-1.72%","392.45B"
"77","601100","Jiangsu Hengli Hydraulic Co.,Ltd","159.29B","118.80","5.47%","10.24B"
"78","600660","Fuyao Glass Industry Group Co., Ltd.","157.66B","61.20","-0.21%","44.24B"
