No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"1","300750","Contemporary Amperex Technology Co., Limited","1.61T","352.32","-0.40%","386.04B"
"2","002594","BYD Company Limited","846.22B","95.86","0.20%","841.12B"
"3","300308","Zhongji Innolight Co., Ltd.","685.56B","617.00","-1.28%","31.55B"
"4","000333","Midea Group Co., Ltd.","579.44B","77.31","0.12%","451.23B"
"5","002475","Luxshare Precision Industry Co., Ltd.","423.16B","58.08","1.24%","312.53B"
"6","000858","Wuliangye Yibin Co.,Ltd.","408.19B","105.16","-0.88%","82.20B"
"7","300502","Eoptolink Technology Inc., Ltd.","394.81B","397.19","-0.70%","20.02B"
"8","002371","NAURA Technology Group Co., Ltd.","379.49B","523.88","3.38%","36.61B"
"9","300059","East Money Information Co.,Ltd.","377.56B","23.89","-0.71%","15.76B"
"10","300274","Sungrow Power Supply Co., Ltd.","351.01B","170.99","3.34%","94.31B"
"11","002415","Hangzhou Hikvision Digital Technology Co., Ltd.","284.11B","31.00","-0.93%","93.26B"
"12","002714","Muyuan Foods Co., Ltd.","254.08B","47.33","-2.01%","152.96B"
"13","300760","Shenzhen Mindray Bio-Medical Electronics Co., Ltd.","243.32B","201.19","-1.42%","33.07B"
"14","300476","Victory Giant Technology (HuiZhou)Co.,Ltd.","242.17B","281.19","-0.66%","17.15B"
"15","002050","Zhejiang Sanhua Intelligent Controls Co.,Ltd","230.40B","57.46","5.26%","31.41B"
"16","000651","Gree Electric Appliances, Inc. of Zhuhai","223.47B","40.35","0.57%","179.62B"
"17","300124","Shenzhen Inovance Technology Co.,Ltd","218.75B","80.85","0.01%","43.31B"
"18","000001","Ping An Bank Co., Ltd.","217.15B","11.19","-1.06%","93.01B"
"19","302132","AVIC Chengdu Aircraft Company Limited","216.60B","81.06","-2.44%","4.59B"
"20","300433","Lens Technology Co., Ltd.","202.96B","39.22","2.11%","77.33B"
"21","300033","Hithink RoyalFlush Information Network Co., Ltd.","202.14B","376.00","-3.17%","5.11B"
"22","002352","S.F. Holding Co., Ltd.","193.72B","38.81","-0.97%","302.82B"
"23","002142","Bank of Ningbo Co., Ltd.","193.49B","29.30","1.70%","56.93B"
"24","003816","CGN Power Co., Ltd.","182.16B","3.850","0.52%","84.26B"
"25","000063","ZTE Corporation","181.01B","40.02","0.45%","131.77B"
"26","000338","Weichai Power Co., Ltd.","179.95B","20.94","3.66%","224.31B"
"27","000792","Qinghai Salt Lake Industry Co.,Ltd","175.05B","33.08","-1.61%","15.80B"
"28","000568","Luzhou Laojiao Co.,Ltd","168.21B","114.28","-0.94%","30.02B"
"29","000725","BOE Technology Group Company Limited","164.00B","4.460","-1.55%","209.20B"
"30","200725","BOE Technology Group Company Limited","164.00B","3.180","-0.31%","209.20B"
"31","000776","GF Securities Co., Ltd.","164.00B","22.56","0.04%","33.78B"
"32","300999","Yihai Kerry Arawana Holdings Co., Ltd","159.56B","29.43","-0.98%","247.68B"
"33","002916","Shennan Circuit Company Limited","155.12B","232.66","4.57%","21.61B"
"34","300394","Suzhou TFC Optical Communication Co., Ltd.","153.93B","198.00","2.23%","4.78B"
"35","002463","Wus Printed Circuit (Kunshan) Co., Ltd.","148.18B","77.00","1.65%","17.84B"
"36","301308","Shenzhen Longsys Electronics Co., Ltd.","148.16B","353.48","13.48%","20.93B"
"37","002230","iFLYTEK CO.,LTD","146.72B","63.70","0.49%","25.48B"
"38","002384","Suzhou Dongshan Precision Manufacturing Co., Ltd.","146.42B","80.33","1.20%","37.37B"
"39","002028","Sieyuan Electric Co., Ltd.","145.38B","185.90","10.00%","21.21B"
"40","300014","EVE Energy Co., Ltd.","142.00B","68.69","1.16%","59.57B"
"41","002602","Zhejiang Century Huatong Group Co.,Ltd","141.92B","19.45","-1.92%","34.31B"
"42","000408","Zangge Mining Company Limited","140.41B","89.51","-1.20%","3.33B"
"43","002460","Ganfeng Lithium Group Co., Ltd.","138.11B","69.20","-3.89%","19.61B"
"44","002736","Guosen Securities Co., Ltd.","130.89B","12.78","-1.62%","27.97B"
"45","000425","XCMG Construction Machinery Co., Ltd.","129.82B","11.06","-0.54%","99.79B"
"46","300442","Range Intelligent Computing Technology Group Company Limited","129.39B","79.17","-2.30%","4.89B"
"47","002938","Avary Holding(Shenzhen)Co., Limited","128.01B","55.45","1.19%","38.51B"
"48","000166","Shenwan Hongyuan Group Co., Ltd.","123.94B","5.18","-1.33%","32.63B"
"49","000617","CNPC Capital Company Limited","120.23B","9.51","-1.04%","35.45B"
"50","002600","Lingyi iTech (Guangdong) Company","120.01B","16.51","2.29%","50.28B"
"51","000807","Yunnan Aluminium Co., Ltd.","112.57B","32.46","-2.11%","59.34B"
"52","002625","Kuang-Chi Technologies Co., Ltd.","111.80B","51.98","-0.17%","1.88B"
"53","002493","Rongsheng Petrochemical Co., Ltd.","111.42B","11.64","-1.77%","309.09B"
"54","002027","Focus Media Information Technology Co., Ltd.","107.31B","7.43","-1.85%","12.61B"
"55","002241","Goertek Inc.","106.99B","30.70","-0.45%","99.41B"
"56","300498","Wens Foodstuff Group Co., Ltd.","106.26B","15.97","-4.60%","104.84B"
"57","300015","Aier Eye Hospital Group Co., Ltd.","105.78B","11.38","-2.49%","22.17B"
"58","002202","Goldwind Science&Technology Co., Ltd.","103.42B","27.04","-9.99%","69.01B"
"59","200625","Chongqing Changan Automobile Company Limited","102.85B","4.190","-","163.70B"
"60","000625","Chongqing Changan Automobile Company Limited","102.84B","11.69","-0.26%","163.70B"
"61","000538","Yunnan Baiyao Group Co.,Ltd","100.28B","56.20","-0.39%","40.77B"
"62","002837","Shenzhen Envicool Technology Co., Ltd.","100.23B","102.64","-0.67%","5.74B"
"63","001289","China Longyuan Power Group Corporation Limited","100.17B","15.77","1.29%","26.72B"
"64","000977","Inspur Electronic Information Industry Co., Ltd.","99.99B","68.09","-0.06%","152.13B"
"65","000100","TCL Technology Group Corporation","98.34B","4.830","-2.42%","177.90B"
"66","300408","Chaozhou Three-Circle (Group) Co.,Ltd.","97.91B","51.09","3.07%","8.50B"
"67","002466","Tianqi Lithium Corporation","94.77B","58.73","-4.22%","10.40B"
