No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue
"1","7203","Toyota Motor Corporation","47.83T","3,670.00","-1.19%","49.39T"
"2","8306","Mitsubishi UFJ Financial Group, Inc.","33.89T","2,990.00","0.88%","5.71T"
"3","6501","Hitachi, Ltd.","23.51T","5,204.00","-2.87%","10.02T"
"4","6758","Sony Group Corporation","22.99T","3,852.00","-1.33%","13.15T"
"5","9984","SoftBank Group Corp.","22.85T","4,010.00","-1.01%","7.51T"
"6","8316","Sumitomo Mitsui Financial Group, Inc.","21.54T","5,626.00","-0.86%","3.42T"
"7","8035","Tokyo Electron Limited","19.32T","42,150.0","-1.03%","2.49T"
"8","9983","Fast Retailing Co., Ltd.","19.22T","62,650.0","-2.13%","3.53T"
"9","8411","Mizuho Financial Group, Inc.","16.92T","6,849.00","1.23%","3.96T"
"10","6857","Advantest Corporation","16.58T","22,800.0","1.38%","977.23B"
"11","7011","Mitsubishi Heavy Industries, Ltd.","15.66T","4,660.00","-2.92%","4.84T"
"12","8058","Mitsubishi Corporation","15.03T","4,055.00","-2.01%","17.90T"
"13","6861","Keyence Corporation","15.00T","61,860.0","1.56%","1.09T"
"14","8001","ITOCHU Corporation","14.86T","2,116.00","0.71%","14.68T"
"15","8031","Mitsui & Co., Ltd.","14.73T","5,156.00","0.16%","14.09T"
"16","4519","Chugai Pharmaceutical Co., Ltd.","13.58T","8,252.00","-3.98%","1.21T"
"17","6098","Recruit Holdings Co., Ltd.","12.89T","9,191.00","-0.53%","3.55T"
"18","9432","NTT, Inc.","12.84T","157.10","-1.51%","13.89T"
"19","7974","Nintendo Co., Ltd.","12.25T","10,520.0","0.67%","1.74T"
"20","8766","Tokio Marine Holdings, Inc.","11.34T","6,035.00","-0.30%","8.06T"
"21","4063","Shin-Etsu Chemical Co., Ltd.","10.66T","5,690.00","0.62%","2.58T"
"22","6503","Mitsubishi Electric Corporation","10.44T","5,100.00","0.41%","5.61T"
"23","9434","SoftBank Corp.","10.33T","216.00","-0.32%","6.79T"
"24","2914","Japan Tobacco Inc.","10.30T","5,800.00","-0.52%","3.46T"
"25","9433","KDDI Corporation","10.08T","2,648.00","-0.49%","6.03T"
"26","7182","JAPAN POST BANK Co., Ltd.","9.10T","2,550.00","0.55%","1.69T"
